"symbol"	"ensembl"	"cluster"
"2164"	"CNEP1R1"	"ENSG00000205423.7"	119
"2165"	"MDM1"	"ENSG00000111554.10"	122
"2166"	"ARHGEF10L"	"ENSG00000074964.12"	109
"2167"	"IFT27"	"ENSG00000100360.10"	1
"2168"	"SIGIRR"	"ENSG00000185187.7"	5
"2169"	"LAPTM4A"	"ENSG00000068697.6"	107
"2170"	"SMN2"	"ENSG00000205571.7"	122
"2171"	"TMTC4"	"ENSG00000125247.11"	110
"2172"	"PPP1R13B"	"ENSG00000088808.12"	4
"2173"	"NDUFAF6"	"ENSG00000156170.7"	128
"2174"	"YWHAB"	"ENSG00000166913.8"	21
"2175"	"OXSM"	"ENSG00000151093.3"	14
"2176"	"LDHB"	"ENSG00000111716.8"	121
"2177"	"THUMPD3"	"ENSG00000134077.10"	13
"2178"	"C22orf39"	"ENSG00000242259.3"	13
"2179"	"KCNV1"	"ENSG00000164794.4"	23
"2180"	"TNRC18"	"ENSG00000182095.10"	108
"2181"	"NLGN3"	"ENSG00000196338.8"	107
"2182"	"CLEC14A"	"ENSG00000176435.6"	112
"2183"	"HPS6"	"ENSG00000166189.6"	13
"2184"	"ZCCHC10"	"ENSG00000155329.7"	9
"2185"	"SMG9"	"ENSG00000105771.8"	37
"2186"	"WIPI2"	"ENSG00000157954.10"	119
"2187"	"BANF1"	"ENSG00000175334.3"	6
"2188"	"SNX32"	"ENSG00000172803.13"	16
"2189"	"HABP4"	"ENSG00000130956.9"	13
"2190"	"PMEPA1"	"ENSG00000124225.11"	80
"2191"	"POLR3F"	"ENSG00000132664.7"	13
"2192"	"ABCA5"	"ENSG00000154265.11"	9
"2193"	"CLOCK"	"ENSG00000134852.10"	21
"2194"	"PLEKHA6"	"ENSG00000143850.7"	119
"2195"	"PARP4"	"ENSG00000102699.5"	113
"2196"	"ANXA5"	"ENSG00000164111.9"	113
"2197"	"ARRDC4"	"ENSG00000140450.7"	106
"2198"	"NPY1R"	"ENSG00000164128.2"	17
"2199"	"RNGTT"	"ENSG00000111880.11"	125
"2200"	"ATF5"	"ENSG00000169136.3"	4
"2201"	"SLCO4A1"	"ENSG00000101187.11"	114
"2202"	"CES4A"	"ENSG00000172824.10"	3
"2203"	"BABAM1"	"ENSG00000105393.10"	12
"2204"	"NUP153"	"ENSG00000124789.7"	118
"2205"	"CPOX"	"ENSG00000080819.2"	110
"2206"	"RALY"	"ENSG00000125970.7"	2
"2207"	"DIP2B"	"ENSG00000066084.8"	110
"2208"	"AARS2"	"ENSG00000124608.4"	123
"2209"	"IFT81"	"ENSG00000122970.11"	2
"2210"	"CHST5"	"ENSG00000135702.10"	1
"2211"	"AKT2"	"ENSG00000105221.10"	108
"2212"	"NLGN4X"	"ENSG00000146938.10"	21
"2213"	"EP300"	"ENSG00000100393.9"	118
"2214"	"RCL1"	"ENSG00000120158.6"	123
"2215"	"STIP1"	"ENSG00000168439.11"	117
"2216"	"DZIP3"	"ENSG00000198919.8"	21
"2217"	"XXbac-B476C20.13"	"ENSG00000234913.1"	4
"2218"	"HCCS"	"ENSG00000004961.10"	126
"2219"	"SEPT6"	"ENSG00000125354.18"	21
"2220"	"MTMR11"	"ENSG00000014914.15"	117
"2221"	"SLC35D2"	"ENSG00000130958.7"	114
"2222"	"ANKRD18A"	"ENSG00000180071.12"	8
"2223"	"CMTM8"	"ENSG00000170293.4"	106
"2224"	"MOB3B"	"ENSG00000120162.8"	110
"2225"	"LRRC47"	"ENSG00000130764.5"	250
"2226"	"HSPB6"	"ENSG00000004776.7"	106
"2227"	"CABP1"	"ENSG00000157782.5"	16
"2228"	"NEK3"	"ENSG00000136098.11"	2
"2229"	"DCUN1D5"	"ENSG00000137692.6"	117
"2230"	"POU2F2"	"ENSG00000028277.12"	4
"2231"	"SEMA3B"	"ENSG00000012171.13"	106
"2232"	"KCNQ2"	"ENSG00000075043.12"	125
"2233"	"PNRC2"	"ENSG00000189266.7"	113
"2234"	"CDK4"	"ENSG00000135446.11"	114
"2235"	"NDUFC1"	"ENSG00000109390.7"	123
"2236"	"GARNL3"	"ENSG00000136895.12"	13
"2237"	"NADSYN1"	"ENSG00000172890.4"	110
"2238"	"NECAP2"	"ENSG00000157191.14"	114
"2239"	"CSMD1"	"ENSG00000183117.11"	23
"2240"	"SEC61A1"	"ENSG00000058262.5"	114
"2241"	"C17orf59"	"ENSG00000196544.6"	4
"2242"	"RPH3A"	"ENSG00000089169.9"	14
"2243"	"SERTAD1"	"ENSG00000197019.4"	115
"2244"	"BIRC6"	"ENSG00000115760.9"	106
"2245"	"TIMM9"	"ENSG00000100575.8"	126
"2246"	"UBA1"	"ENSG00000130985.12"	119
"2247"	"ZNF343"	"ENSG00000088876.7"	121
"2248"	"AC008993.5"	"ENSG00000225373.2"	121
"2249"	"RCOR1"	"ENSG00000089902.7"	121
"2250"	"HCN2"	"ENSG00000099822.2"	16
"2251"	"METTL7A"	"ENSG00000185432.10"	108
"2252"	"VSTM2B"	"ENSG00000187135.7"	19
"2253"	"DFNA5"	"ENSG00000105928.9"	122
"2254"	"FADS2"	"ENSG00000134824.9"	106
"2255"	"SRSF8"	"ENSG00000180771.9"	13
"2256"	"MRPS11"	"ENSG00000181991.11"	17
"2257"	"RP11-90D4.2"	"ENSG00000226091.2"	1
"2258"	"C1orf52"	"ENSG00000162642.9"	125
"2259"	"PEX26"	"ENSG00000215193.6"	125
"2260"	"PIP4K2C"	"ENSG00000166908.13"	125
"2261"	"TFAP4"	"ENSG00000090447.7"	4
"2262"	"ZNF787"	"ENSG00000142409.4"	7
"2263"	"ENTPD4"	"ENSG00000197217.8"	187
"2264"	"CCT5"	"ENSG00000150753.7"	117
"2265"	"PRKCD"	"ENSG00000163932.9"	23
"2266"	"RP11-678P16.1"	"ENSG00000254652.1"	106
"2267"	"VEGFA"	"ENSG00000112715.16"	130
"2268"	"ALKBH2"	"ENSG00000189046.5"	3
"2269"	"TMEM151A"	"ENSG00000179292.4"	12
"2270"	"MOK"	"ENSG00000080823.16"	1
"2271"	"ADAM11"	"ENSG00000073670.9"	12
"2272"	"PRRG1"	"ENSG00000130962.13"	110
"2273"	"QTRT1"	"ENSG00000213339.4"	8
"2274"	"RIIAD1"	"ENSG00000178796.8"	12
"2275"	"TBCE"	"ENSG00000116957.8"	14
"2276"	"DOCK1"	"ENSG00000150760.8"	111
"2277"	"TIMM8A"	"ENSG00000126953.5"	128
"2278"	"C14orf129"	"ENSG00000100744.10"	23
"2279"	"CYP2U1"	"ENSG00000155016.13"	107
"2280"	"AC114772.1"	"ENSG00000188971.2"	117
"2281"	"WNT5B"	"ENSG00000111186.8"	12
"2282"	"KPNA1"	"ENSG00000114030.8"	125
"2283"	"AC005280.1"	"ENSG00000170468.5"	18
"2284"	"XYLT2"	"ENSG00000015532.5"	1
"2285"	"TNNT2"	"ENSG00000118194.14"	1
"2286"	"NSUN5P1"	"ENSG00000223705.5"	6
"2287"	"LOH12CR2"	"ENSG00000205791.2"	2
"2288"	"RHOXF1"	"ENSG00000101883.3"	3
"2289"	"PTAR1"	"ENSG00000188647.8"	107
"2290"	"FAM127A"	"ENSG00000134590.9"	14
"2291"	"CRIP3"	"ENSG00000146215.9"	1
"2292"	"TMEM155"	"ENSG00000164112.8"	22
"2293"	"CHAMP1"	"ENSG00000198824.4"	122
"2294"	"TMEM185A"	"ENSG00000155984.9"	17
"2295"	"FAM65C"	"ENSG00000042062.7"	109
"2296"	"AC138783.12"	"ENSG00000189011.9"	2
"2297"	"CCDC34"	"ENSG00000109881.11"	6
"2298"	"FRMD8"	"ENSG00000126391.9"	5
"2299"	"ACTL6A"	"ENSG00000136518.11"	114
"2300"	"HLA-B"	"ENSG00000234745.4"	116
"2301"	"LRRTM1"	"ENSG00000162951.6"	16
"2302"	"LONRF2"	"ENSG00000170500.8"	23
"2303"	"OPLAH"	"ENSG00000178814.11"	106
"2304"	"SNRPA"	"ENSG00000077312.3"	6
"2305"	"HPS4"	"ENSG00000100099.15"	109
"2306"	"DGKI"	"ENSG00000157680.9"	19
"2307"	"ELAC2"	"ENSG00000006744.11"	13
"2308"	"SLC41A3"	"ENSG00000114544.11"	16
"2309"	"CSTF2T"	"ENSG00000177613.7"	118
"2310"	"ST3GAL1"	"ENSG00000008513.10"	5
"2311"	"VWC2"	"ENSG00000188730.3"	147
"2312"	"ABCF3"	"ENSG00000161204.7"	13
"2313"	"PLAA"	"ENSG00000137055.10"	126
"2314"	"C16orf72"	"ENSG00000182831.7"	119
"2315"	"RPF2"	"ENSG00000197498.7"	1
"2316"	"AP000356.1"	"ENSG00000240906.2"	108
"2317"	"UNC80"	"ENSG00000144406.12"	21
"2318"	"SEC11C"	"ENSG00000166562.4"	113
"2319"	"ERLIN1"	"ENSG00000107566.9"	117
"2320"	"CAPN2"	"ENSG00000162909.13"	111
"2321"	"RRP7A"	"ENSG00000189306.6"	1
"2322"	"KRCC1"	"ENSG00000172086.7"	109
"2323"	"GDF1"	"ENSG00000130283.6"	2
"2324"	"EIF6"	"ENSG00000242372.2"	14
"2325"	"BTBD6"	"ENSG00000184887.9"	17
"2326"	"TCEA3"	"ENSG00000204219.5"	108
"2327"	"LYPLAL1"	"ENSG00000143353.7"	106
"2328"	"CTXN2"	"ENSG00000233932.3"	17
"2329"	"EIF2S1"	"ENSG00000134001.8"	117
"2330"	"ATXN7L3B"	"ENSG00000253719.2"	125
"2331"	"TNFRSF18"	"ENSG00000186891.9"	12
"2332"	"GATM"	"ENSG00000171766.10"	107
"2333"	"FRMD4A"	"ENSG00000151474.13"	1
"2334"	"SETMAR"	"ENSG00000170364.8"	14
"2335"	"VPS26B"	"ENSG00000151502.5"	119
"2336"	"SCN3A"	"ENSG00000153253.10"	10
"2337"	"C1orf131"	"ENSG00000143633.8"	106
"2338"	"SFRP2"	"ENSG00000145423.4"	109
"2339"	"CELF1"	"ENSG00000149187.12"	9
"2340"	"VMA21"	"ENSG00000160131.9"	127
"2341"	"MEIS3"	"ENSG00000105419.11"	1
"2342"	"POLRMT"	"ENSG00000099821.7"	1
"2343"	"KDM5D"	"ENSG00000012817.10"	106
"2344"	"HIPK1"	"ENSG00000163349.15"	118
"2345"	"SHC4"	"ENSG00000185634.7"	110
"2346"	"TP53TG5"	"ENSG00000124251.6"	2
"2347"	"ACTR1B"	"ENSG00000115073.5"	13
"2348"	"TSTA3"	"ENSG00000104522.11"	1
"2349"	"ZNF224"	"ENSG00000267680.1"	111
"2350"	"C22orf32"	"ENSG00000183172.6"	109
"2351"	"EIF4EBP1"	"ENSG00000187840.4"	5
"2352"	"TCF12"	"ENSG00000140262.13"	111
"2353"	"UQCRC2"	"ENSG00000140740.6"	122
"2354"	"ZDHHC8"	"ENSG00000099904.11"	7
"2355"	"FEN1"	"ENSG00000168496.3"	13
"2356"	"FAR2"	"ENSG00000064763.5"	14
"2357"	"SRRM3"	"ENSG00000177679.14"	1
"2358"	"KCNAB2"	"ENSG00000069424.9"	16
"2359"	"RP11-284N8.3"	"ENSG00000259834.1"	17
"2360"	"FOXN3"	"ENSG00000053254.11"	109
"2361"	"PIGP"	"ENSG00000185808.8"	123
"2362"	"ORMDL2"	"ENSG00000123353.5"	116
"2363"	"RECQL4"	"ENSG00000160957.7"	4
"2364"	"TBC1D23"	"ENSG00000036054.8"	126
"2365"	"SSNA1"	"ENSG00000176101.7"	4
"2366"	"NUDT22"	"ENSG00000149761.4"	4
"2367"	"SMC1A"	"ENSG00000072501.12"	111
"2368"	"ZNF707"	"ENSG00000181135.11"	13
"2369"	"KCTD5"	"ENSG00000167977.4"	108
"2370"	"AP4M1"	"ENSG00000221838.5"	1
"2371"	"RNASE2"	"ENSG00000169385.2"	116
"2372"	"BMP7"	"ENSG00000101144.8"	107
"2373"	"RP11-194N12.2"	"ENSG00000267222.1"	4
"2374"	"DLGAP1-AS1"	"ENSG00000177337.3"	115
"2375"	"NBPF24"	"ENSG00000203836.6"	121
"2376"	"A2ML1"	"ENSG00000166535.15"	109
"2377"	"LAYN"	"ENSG00000204381.7"	110
"2378"	"PCSK1N"	"ENSG00000102109.6"	12
"2379"	"PEX19"	"ENSG00000162735.13"	121
"2380"	"RP11-890B15.3"	"ENSG00000255455.2"	13
"2381"	"LPIN1"	"ENSG00000134324.7"	114
"2382"	"PFDN2"	"ENSG00000143256.4"	3
"2383"	"MTMR12"	"ENSG00000150712.6"	119
"2384"	"KALRN"	"ENSG00000160145.10"	131
"2385"	"CTBP1-AS1"	"ENSG00000196810.4"	121
"2386"	"CSPG5"	"ENSG00000114646.5"	107
"2387"	"SORD"	"ENSG00000140263.9"	126
"2388"	"ASB6"	"ENSG00000148331.7"	238
"2389"	"KRR1"	"ENSG00000111615.8"	10
"2390"	"AHCYL1"	"ENSG00000168710.13"	107
"2391"	"PRUNE"	"ENSG00000143363.11"	17
"2392"	"DHRS7B"	"ENSG00000109016.13"	3
"2393"	"HOOK1"	"ENSG00000134709.6"	21
"2394"	"ARFGEF2"	"ENSG00000124198.8"	125
"2395"	"FGF1"	"ENSG00000113578.13"	110
"2396"	"LCN15"	"ENSG00000177984.6"	4
"2397"	"DNAJB6"	"ENSG00000105993.10"	117
"2398"	"AHCTF1"	"ENSG00000153207.10"	118
"2399"	"USP9X"	"ENSG00000124486.6"	121
"2400"	"ANXA3"	"ENSG00000138772.8"	112
"2401"	"LIMS2"	"ENSG00000072163.13"	2
"2402"	"FAM63B"	"ENSG00000128923.6"	5
"2403"	"IQCC"	"ENSG00000160051.7"	18
"2404"	"MRPS18A"	"ENSG00000096080.7"	233
"2405"	"NDRG2"	"ENSG00000165795.14"	108
"2406"	"TRMT61A"	"ENSG00000166166.8"	1
"2407"	"MARCH11"	"ENSG00000183654.7"	14
"2408"	"REEP3"	"ENSG00000165476.7"	110
"2409"	"ACER3"	"ENSG00000078124.6"	110
"2410"	"ALG12"	"ENSG00000182858.8"	114
"2411"	"RP11-356J5.12"	"ENSG00000250303.2"	7
"2412"	"PDCD6IP"	"ENSG00000170248.8"	121
"2413"	"TCEB1"	"ENSG00000154582.11"	126
"2414"	"RP3-430N8.8"	"ENSG00000237977.1"	8
"2415"	"PTRH2"	"ENSG00000141378.13"	14
"2416"	"NPTXR"	"ENSG00000221890.2"	23
"2417"	"RGS1"	"ENSG00000090104.7"	116
"2418"	"NUDT21"	"ENSG00000167005.9"	127
"2419"	"GULP1"	"ENSG00000144366.11"	125
"2420"	"RPS17L"	"ENSG00000182774.6"	114
"2421"	"RP11-297M9.2"	"ENSG00000260432.1"	22
"2422"	"IFT46"	"ENSG00000118096.3"	17
"2423"	"SLC32A1"	"ENSG00000101438.3"	136
"2424"	"PTPN11"	"ENSG00000179295.11"	121
"2425"	"ECSIT"	"ENSG00000130159.8"	17
"2426"	"SLC50A1"	"ENSG00000169241.12"	5
"2427"	"CS"	"ENSG00000062485.13"	121
"2428"	"GDPGP1"	"ENSG00000183208.8"	128
"2429"	"ALG8"	"ENSG00000159063.7"	8
"2430"	"ZNF12"	"ENSG00000164631.14"	119
"2431"	"ARHGEF25"	"ENSG00000240771.2"	4
"2432"	"PJA2"	"ENSG00000198961.5"	125
"2433"	"PARM1"	"ENSG00000169116.7"	23
"2434"	"CC2D1B"	"ENSG00000154222.8"	5
"2435"	"IPO8"	"ENSG00000133704.5"	111
"2436"	"GRM1"	"ENSG00000152822.9"	16
"2437"	"RAD1"	"ENSG00000113456.14"	125
"2438"	"FAM134B"	"ENSG00000154153.9"	4
"2439"	"RARB"	"ENSG00000077092.14"	23
"2440"	"SEPW1"	"ENSG00000178980.9"	18
"2441"	"SLC30A9"	"ENSG00000014824.8"	125
"2442"	"HEPACAM"	"ENSG00000165478.6"	108
"2443"	"SLC22A23"	"ENSG00000137266.10"	117
"2444"	"PICALM"	"ENSG00000073921.12"	121
"2445"	"FAM91A1"	"ENSG00000176853.11"	118
"2446"	"CGRRF1"	"ENSG00000100532.7"	107
"2447"	"NDUFA10"	"ENSG00000130414.7"	13
"2448"	"USP39"	"ENSG00000168883.14"	114
"2449"	"PPIL2"	"ENSG00000100023.12"	1
"2450"	"FAAH"	"ENSG00000117480.11"	1
"2451"	"ARL3"	"ENSG00000138175.7"	123
"2452"	"COMMD2"	"ENSG00000114744.4"	117
"2453"	"FAM181A"	"ENSG00000140067.5"	115
"2454"	"SLC38A3"	"ENSG00000188338.9"	106
"2455"	"RP11-923I11.1"	"ENSG00000260415.1"	14
"2456"	"RPL24"	"ENSG00000114391.8"	3
"2457"	"PLCH2"	"ENSG00000149527.11"	4
"2458"	"RSPO2"	"ENSG00000147655.6"	21
"2459"	"PITPNM2"	"ENSG00000090975.8"	16
"2460"	"FBXL19"	"ENSG00000099364.12"	16
"2461"	"BAK1"	"ENSG00000030110.8"	1
"2462"	"LRRC56"	"ENSG00000161328.10"	4
"2463"	"BMS1"	"ENSG00000165733.6"	14
"2464"	"CEP68"	"ENSG00000011523.9"	125
"2465"	"HMP19"	"ENSG00000170091.6"	23
"2466"	"SCAF1"	"ENSG00000126461.9"	16
"2467"	"RAPGEF4"	"ENSG00000091428.12"	121
"2468"	"MARCKS"	"ENSG00000155130.5"	123
"2469"	"COX15"	"ENSG00000014919.7"	122
"2470"	"ILK"	"ENSG00000166333.9"	108
"2471"	"TIA1"	"ENSG00000116001.11"	121
"2472"	"PHF19"	"ENSG00000119403.9"	109
"2473"	"PPAPDC3"	"ENSG00000160539.4"	18
"2474"	"RP11-31F19.1"	"ENSG00000226403.1"	5
"2475"	"RRP12"	"ENSG00000052749.9"	19
"2476"	"F8A1"	"ENSG00000197932.3"	14
"2477"	"SLC35A2"	"ENSG00000102100.10"	241
"2478"	"RP11-298P3.4"	"ENSG00000139617.10"	17
"2479"	"RRAS2"	"ENSG00000133818.8"	113
"2480"	"RP11-680G24.5"	"ENSG00000260872.1"	1
"2481"	"RP5-1014C4.3"	"ENSG00000261311.1"	17
"2482"	"ADA"	"ENSG00000196839.8"	110
"2483"	"NACA"	"ENSG00000196531.6"	123
"2484"	"XIST"	"ENSG00000229807.3"	8
"2485"	"COL6A2"	"ENSG00000142173.10"	112
"2486"	"PCDHGA12"	"ENSG00000253159.1"	108
"2487"	"AL591845.1"	"ENSG00000116883.7"	1
"2488"	"NFKB1"	"ENSG00000109320.6"	113
"2489"	"GAR1"	"ENSG00000109534.12"	8
"2490"	"LAMA4"	"ENSG00000112769.13"	17
"2491"	"PSMG2"	"ENSG00000128789.15"	123
"2492"	"FAM204A"	"ENSG00000165669.7"	122
"2493"	"SNAPIN"	"ENSG00000143553.6"	107
"2494"	"CTA-445C9.15"	"ENSG00000260065.1"	92
"2495"	"CTD-2023N9.3"	"ENSG00000249436.1"	12
"2496"	"ZNF784"	"ENSG00000179922.4"	2
"2497"	"SPATS2"	"ENSG00000123352.12"	19
"2498"	"AC087393.1"	"ENSG00000236819.1"	107
"2499"	"AP000275.65"	"ENSG00000265590.1"	119
"2500"	"MAP3K8"	"ENSG00000107968.4"	116
"2501"	"RAB12"	"ENSG00000206418.3"	126
"2502"	"AC068491.1"	"ENSG00000172965.6"	14
"2503"	"PTP4A1"	"ENSG00000112245.5"	127
"2504"	"TMEM237"	"ENSG00000155755.14"	123
"2505"	"GID4"	"ENSG00000141034.5"	119
"2506"	"DHRS13"	"ENSG00000167536.9"	5
"2507"	"CDH5"	"ENSG00000179776.13"	113
"2508"	"KLHL2"	"ENSG00000109466.9"	118
"2509"	"RASAL2"	"ENSG00000075391.12"	21
"2510"	"FNDC9"	"ENSG00000172568.4"	19
"2511"	"SH3D19"	"ENSG00000109686.11"	121
"2512"	"CIDECP"	"ENSG00000186162.6"	14
"2513"	"WBP1L"	"ENSG00000166272.12"	114
"2514"	"MCM5"	"ENSG00000100297.8"	116
"2515"	"ARMCX1"	"ENSG00000126947.7"	126
"2516"	"CDC73"	"ENSG00000134371.9"	118
"2517"	"YRDC"	"ENSG00000196449.3"	117
"2518"	"CTRL"	"ENSG00000141086.13"	6
"2519"	"PWWP2A"	"ENSG00000170234.7"	118
"2520"	"CCT7"	"ENSG00000135624.10"	126
"2521"	"TNKS1BP1"	"ENSG00000149115.9"	8
"2522"	"HPCA"	"ENSG00000121905.5"	16
"2523"	"RPS19BP1"	"ENSG00000187051.4"	5
"2524"	"LINC00339"	"ENSG00000218510.3"	13
"2525"	"RIC3"	"ENSG00000166405.10"	3
"2526"	"DHX34"	"ENSG00000134815.13"	27
"2527"	"CAND2"	"ENSG00000144712.7"	12
"2528"	"MAMSTR"	"ENSG00000176909.6"	1
"2529"	"CTD-2196E14.4"	"ENSG00000259806.2"	4
"2530"	"SKIV2L2"	"ENSG00000039123.11"	121
"2531"	"LINC00641"	"ENSG00000258441.1"	189
"2532"	"TXNDC5"	"ENSG00000239264.2"	117
"2533"	"SCARA3"	"ENSG00000168077.8"	115
"2534"	"DCBLD1"	"ENSG00000164465.14"	23
"2535"	"FCGR3A"	"ENSG00000203747.5"	116
"2536"	"HBA2"	"ENSG00000188536.8"	106
"2537"	"HP"	"ENSG00000257017.4"	108
"2538"	"PDCD10"	"ENSG00000114209.10"	123
"2539"	"KDM2A"	"ENSG00000173120.9"	119
"2540"	"GAS5"	"ENSG00000234741.2"	8
"2541"	"NFAT5"	"ENSG00000102908.16"	118
"2542"	"CNKSR1"	"ENSG00000142675.12"	6
"2543"	"SREBF1"	"ENSG00000072310.12"	106
"2544"	"GOLGB1"	"ENSG00000173230.11"	9
"2545"	"TMEM229B"	"ENSG00000198133.4"	18
"2546"	"RPS21"	"ENSG00000171858.12"	109
"2547"	"RNF175"	"ENSG00000145428.10"	22
"2548"	"RBM14-RBM4"	"ENSG00000248643.3"	117
"2549"	"ELTD1"	"ENSG00000162618.8"	113
"2550"	"CTD-2319I12.4"	"ENSG00000267248.1"	17
"2551"	"PRPF38A"	"ENSG00000134748.11"	107
"2552"	"RP11-1021N1.2"	"ENSG00000261422.1"	4
"2553"	"PHKG2"	"ENSG00000156873.11"	14
"2554"	"MRPL45"	"ENSG00000174100.5"	126
"2555"	"KIAA1244"	"ENSG00000112379.8"	21
"2556"	"NUDT14"	"ENSG00000183828.9"	12
"2557"	"ATP13A2"	"ENSG00000159363.13"	12
"2558"	"PSMB2"	"ENSG00000126067.7"	13
"2559"	"AKR7A2"	"ENSG00000053371.8"	107
"2560"	"ZNF354B"	"ENSG00000178338.6"	122
"2561"	"BTBD10"	"ENSG00000148925.5"	187
"2562"	"MAGEE1"	"ENSG00000198934.3"	22
"2563"	"GRK4"	"ENSG00000125388.14"	8
"2564"	"AC012309.5"	"ENSG00000226686.2"	13
"2565"	"PSMC3"	"ENSG00000165916.3"	13
"2566"	"SPI1"	"ENSG00000066336.7"	116
"2567"	"PNMAL2"	"ENSG00000204851.4"	12
"2568"	"GABRB2"	"ENSG00000145864.8"	21
"2569"	"SH3BP5"	"ENSG00000131370.11"	23
"2570"	"PSD2"	"ENSG00000146005.3"	107
"2571"	"ZNF232"	"ENSG00000167840.9"	11
"2572"	"SIPA1"	"ENSG00000213445.4"	5
"2573"	"PPP6R3"	"ENSG00000110075.9"	111
"2574"	"MYL9"	"ENSG00000101335.5"	106
"2575"	"HSPA8"	"ENSG00000109971.8"	117
"2576"	"BAIAP2"	"ENSG00000175866.10"	19
"2577"	"WHAMM"	"ENSG00000156232.6"	63
"2578"	"RP11-498C9.15"	"ENSG00000263731.1"	12
"2579"	"ATG10"	"ENSG00000152348.10"	4
"2580"	"CTB-78F1.1"	"ENSG00000254187.1"	17
"2581"	"RTDR1"	"ENSG00000100218.7"	95
"2582"	"BTN3A2"	"ENSG00000186470.8"	116
"2583"	"SLC35G2"	"ENSG00000168917.8"	107
"2584"	"RAP1B"	"ENSG00000127314.12"	113
"2585"	"IRAK4"	"ENSG00000198001.9"	113
"2586"	"ARHGEF26-AS1"	"ENSG00000243069.1"	108
"2587"	"CHIC1"	"ENSG00000204116.6"	16
"2588"	"ZNF276"	"ENSG00000158805.7"	6
"2589"	"FAM192A"	"ENSG00000172775.12"	121
"2590"	"PAK1IP1"	"ENSG00000111845.4"	10
"2591"	"KCNQ3"	"ENSG00000184156.10"	135
"2592"	"RHOT2"	"ENSG00000140983.7"	1
"2593"	"RPL21P28"	"ENSG00000213860.3"	123
"2594"	"CRELD2"	"ENSG00000184164.10"	115
"2595"	"AC009120.6"	"ENSG00000259972.1"	5
"2596"	"WDR25"	"ENSG00000176473.9"	12
"2597"	"ALG9"	"ENSG00000086848.9"	3
"2598"	"CLDN11"	"ENSG00000013297.5"	110
"2599"	"CDS1"	"ENSG00000163624.5"	21
"2600"	"ARMCX2"	"ENSG00000184867.9"	126
"2601"	"RP11-660L16.2"	"ENSG00000254682.1"	8
"2602"	"KCNK4"	"ENSG00000182450.8"	12
"2603"	"RP11-206L10.1"	"ENSG00000224956.4"	2
"2604"	"CNDP1"	"ENSG00000150656.10"	110
"2605"	"ERLEC1"	"ENSG00000068912.9"	148
"2606"	"SHANK2"	"ENSG00000162105.9"	23
"2607"	"MYO19"	"ENSG00000141140.12"	2
"2608"	"RPL37A"	"ENSG00000197756.4"	117
"2609"	"DOPEY1"	"ENSG00000083097.9"	257
"2610"	"APEH"	"ENSG00000164062.8"	13
"2611"	"SNRNP35"	"ENSG00000184209.13"	8
"2612"	"DICER1-AS1"	"ENSG00000235706.3"	2
"2613"	"SENP7"	"ENSG00000138468.11"	121
"2614"	"MPC2"	"ENSG00000143158.6"	126
"2615"	"TMED8"	"ENSG00000100580.7"	125
"2616"	"FAM20B"	"ENSG00000116199.7"	125
"2617"	"TMTC2"	"ENSG00000179104.3"	110
"2618"	"LIPT1"	"ENSG00000144182.12"	2
"2619"	"NR2F1"	"ENSG00000175745.7"	6
"2620"	"POLE"	"ENSG00000177084.10"	6
"2621"	"RP11-473M20.14"	"ENSG00000263072.1"	1
"2622"	"SYNC"	"ENSG00000162520.10"	108
"2623"	"NMI"	"ENSG00000123609.6"	115
"2624"	"PLA2G16"	"ENSG00000176485.6"	110
"2625"	"TUSC3"	"ENSG00000104723.15"	23
"2626"	"PELI1"	"ENSG00000197329.6"	113
"2627"	"MAST3"	"ENSG00000099308.4"	16
"2628"	"IARS2"	"ENSG00000067704.8"	123
"2629"	"LRRC24"	"ENSG00000254402.1"	12
"2630"	"SSU72"	"ENSG00000160075.9"	17
"2631"	"ACAP3"	"ENSG00000131584.13"	4
"2632"	"ZNF675"	"ENSG00000197372.4"	125
"2633"	"SMARCB1"	"ENSG00000099956.13"	108
"2634"	"MTMR9LP"	"ENSG00000220785.3"	110
"2635"	"NOP56"	"ENSG00000101361.10"	10
"2636"	"POLDIP3"	"ENSG00000100227.13"	114
"2637"	"CMAS"	"ENSG00000111726.8"	131
"2638"	"SNX17"	"ENSG00000115234.6"	128
"2639"	"RPLP2"	"ENSG00000177600.4"	5
"2640"	"FAM189B"	"ENSG00000160767.16"	61
"2641"	"RBM42"	"ENSG00000126254.7"	2
"2642"	"MARCH9"	"ENSG00000139266.5"	1
"2643"	"ERBB3"	"ENSG00000065361.8"	110
"2644"	"CAMK2N2"	"ENSG00000163888.3"	12
"2645"	"TULP3"	"ENSG00000078246.10"	108
"2646"	"SLC39A13"	"ENSG00000165915.9"	2
"2647"	"WDR61"	"ENSG00000140395.3"	122
"2648"	"RP11-303E16.2"	"ENSG00000261061.1"	8
"2649"	"FAM216A"	"ENSG00000204856.7"	14
"2650"	"LAMA5"	"ENSG00000130702.9"	5
"2651"	"OLFM3"	"ENSG00000118733.12"	23
"2652"	"CNTRL"	"ENSG00000119397.11"	2
"2653"	"HSD17B8"	"ENSG00000204228.3"	106
"2654"	"NUP205"	"ENSG00000155561.8"	8
"2655"	"CD82"	"ENSG00000085117.7"	114
"2656"	"FAM136A"	"ENSG00000035141.3"	22
"2657"	"HCST"	"ENSG00000126264.5"	5
